"species","long","lat"
"Larus.fuscus",14.758224,56.867491
"Larus.fuscus",14.757784,56.867265
"Larus.fuscus",14.758224,56.867491
"Larus.fuscus",14.758224,56.867491
"Larus.fuscus",17.612172,58.950047
"Larus.fuscus",14.766974,56.85877
"Larus.fuscus",18.406732,59.289863
"Larus.fuscus",12.918403,59.117119
"Larus.fuscus",12.992864,55.590429
"Larus.fuscus",12.96392,55.59546
"Larus.fuscus",12.779316,56.050167
"Larus.fuscus",15.651994,58.433669
"Larus.fuscus",13.165053,55.374812
"Larus.fuscus",17.144275,58.695832
"Larus.fuscus",15.652272,58.433237
"Larus.fuscus",16.428597,56.672327
"Larus.fuscus",15.651994,58.433669
"Larus.fuscus",12.992864,55.590429
"Larus.fuscus",12.995999,55.589399
"Larus.fuscus",12.806715,55.943936
"Larus.fuscus",18.058742,59.531258
"Larus.fuscus",18.078029,59.221117
"Larus.fuscus",12.995999,55.589399
"Larus.fuscus",17.704546,59.402396
"Larus.fuscus",15.648634,58.429662
"Larus.fuscus",12.992864,55.590429
"Larus.fuscus",11.948635,57.656748
"Larus.fuscus",17.671559,59.827363
"Larus.fuscus",15.651994,58.433669
"Larus.fuscus",18.069414,59.383177
"Larus.fuscus",12.995999,55.589399
"Larus.fuscus",12.995999,55.589399
"Larus.fuscus",14.923856,57.990018
"Larus.fuscus",12.636547,56.776383
"Larus.fuscus",12.992864,55.590429
"Larus.fuscus",14.923631,57.992918
"Larus.fuscus",12.644075,56.447739
"Larus.fuscus",12.992864,55.590429
"Larus.fuscus",12.995999,55.589399
"Larus.fuscus",15.651994,58.433669
"Larus.fuscus",13.152908,55.515979
"Larus.fuscus",12.995999,55.589399
"Larus.fuscus",18.081811,59.32522
"Larus.fuscus",12.992864,55.590429
"Larus.fuscus",12.33368,58.389894
"Larus.fuscus",17.706207,59.056289
"Larus.fuscus",13.233747,55.686788
"Larus.fuscus",12.995999,55.589399
"Larus.fuscus",11.953486,57.723205
"Larus.fuscus",11.900728,57.30265
"Larus.fuscus",12.494299,57.935413
"Larus.fuscus",12.995999,55.589399
"Larus.fuscus",12.494299,57.935413
"Larus.fuscus",12.153424,58.202106
"Larus.fuscus",12.379593,58.33208
"Larus.fuscus",18.161195,59.549605
"Larus.fuscus",11.785483,57.92865
"Larus.fuscus",16.080724,56.384671
"Larus.fuscus",14.923856,57.990018
"Larus.fuscus",13.152908,55.515979
"Larus.fuscus",12.027759,57.62071
"Larus.fuscus",11.907484,57.634187
"Larus.fuscus",12.309345,57.11777
"Larus.fuscus",17.667733,59.827092
"Larus.fuscus",18.100559,59.307714
"Larus.fuscus",12.318229,57.030333
"Larus.fuscus",12.644425,56.731025
"Larus.fuscus",12.238037,57.130658
"Larus.fuscus",16.402042,56.200263
"Larus.fuscus",12.238055,57.123432
"Larus.fuscus",11.781207,57.919863
"Larus.fuscus",12.494299,57.935413
"Larus.fuscus",11.735205,58.34078
"Larus.fuscus",13.398723,55.411607
"Larus.fuscus",12.850481,55.401667
"Larus.fuscus",19.228349,57.993999
"Larus.fuscus",17.723374,59.365933
"Larus.fuscus",17.79956,59.37543
"Larus.fuscus",12.995999,55.589399
"Larus.fuscus",12.252203,57.126533
"Larus.fuscus",12.834356,58.072419
"Larus.fuscus",11.907484,57.634187
"Larus.fuscus",18.033248,59.382362
"Larus.fuscus",16.39606,56.269936
"Larus.fuscus",12.247307,57.13156
"Larus.fuscus",16.526315,56.757202
"Larus.fuscus",17.817715,59.36505
"Larus.fuscus",12.494299,57.935413
"Larus.fuscus",18.072819,59.219145
"Larus.fuscus",12.995999,55.589399
"Larus.fuscus",11.793595,57.696408
"Larus.fuscus",12.375542,58.267296
"Larus.fuscus",14.923631,57.992918
"Larus.fuscus",12.681113,56.060164
"Larus.fuscus",16.39606,56.269936
"Larus.fuscus",12.33368,58.389894
"Larus.fuscus",17.957394,59.432981
"Larus.fuscus",12.494299,57.935413
"Larus.fuscus",12.494299,57.935413
"Larus.fuscus",12.288207,58.288122
"Larus.fuscus",12.169486,57.443762
"Larus.fuscus",12.992864,55.590429
"Larus.fuscus",12.494299,57.935413
"Larus.fuscus",13.134214,55.744899
"Larus.fuscus",17.037636,61.717186
"Larus.fuscus",11.837828,57.818489
"Larus.fuscus",17.106115,61.71745
"Larus.fuscus",12.90244,55.522534
"Larus.fuscus",12.828616,56.09915
"Larus.fuscus",18.307477,57.227838
"Larus.fuscus",11.938736,57.4935
"Larus.fuscus",12.550776,56.905779
"Larus.fuscus",12.238037,57.130658
"Larus.fuscus",17.904529,59.405061
"Larus.fuscus",12.680205,56.688359
"Larus.fuscus",11.974911,57.704895
"Larus.fuscus",17.915838,59.349295
"Larus.fuscus",18.089492,59.337775
"Larus.fuscus",18.31204,59.323241
"Larus.fuscus",16.39606,56.269936
"Larus.fuscus",12.24207,57.836436
"Larus.fuscus",21.386003,65.375701
"Larus.fuscus",12.494299,57.935413
"Larus.fuscus",11.907421,57.634576
"Larus.fuscus",12.760398,58.018006
"Larus.fuscus",12.309785,57.028808
"Larus.fuscus",14.047558,55.384407
"Larus.fuscus",13.098901,55.83828
"Larus.fuscus",12.309785,57.028808
"Larus.fuscus",12.216549,57.121569
"Larus.fuscus",11.900728,57.30265
"Larus.fuscus",21.386003,65.375701
"Larus.fuscus",13.207184,55.573491
"Larus.fuscus",11.945877,57.683185
"Larus.fuscus",16.399572,56.678254
"Larus.fuscus",12.734841,56.47064
"Larus.fuscus",17.987129,59.372455
"Larus.fuscus",11.907421,57.634576
"Larus.fuscus",18.009164,59.302312
"Larus.fuscus",18.171436,59.555364
"Larus.fuscus",11.907421,57.634576
"Larus.fuscus",17.14317,58.698609
"Larus.fuscus",16.526585,56.757212
"Larus.fuscus",17.667733,59.827092
"Larus.fuscus",12.247307,57.13156
"Larus.fuscus",18.161195,59.549605
"Larus.fuscus",12.503273,57.939185
"Larus.fuscus",18.260091,59.369238
"Larus.fuscus",11.900728,57.30265
"Larus.fuscus",11.887541,57.801515
"Larus.fuscus",11.667741,58.11496
